"group_id"	"tissue_fov"	"IT.Treatment.before.collection"	"lasso_final"	"Source"
"RCC3-8_None_Tumor_Stroma"	"RCC3-8"	"None"	"Tumor"	"Stroma"
"RCC3-8_None_Vasa recta endothelium_Stroma"	"RCC3-8"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-9_None_B cell_Tumor"	"RCC3-9"	"None"	"B cell"	"Tumor"
"RCC3-9_None_Capillary endothelium_Tumor"	"RCC3-9"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-9_None_CD8 T cell_Tumor"	"RCC3-9"	"None"	"CD8 T cell"	"Tumor"
"RCC3-9_None_Collecting duct cell_Tumor"	"RCC3-9"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-9_None_Epithelial progenitor cell_Tumor"	"RCC3-9"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC3-9_None_Fibroblast_Tumor"	"RCC3-9"	"None"	"Fibroblast"	"Tumor"
"RCC3-9_None_gdT cell_Tumor"	"RCC3-9"	"None"	"gdT cell"	"Tumor"
"RCC3-9_None_Intercalated Cell_Tumor"	"RCC3-9"	"None"	"Intercalated Cell"	"Tumor"
"RCC3-9_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-9"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-9_None_M2 macrophage (CD163)_Tumor"	"RCC3-9"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-9_None_Mast cell_Tumor"	"RCC3-9"	"None"	"Mast cell"	"Tumor"
"RCC3-9_None_Myeloid DC_Tumor"	"RCC3-9"	"None"	"Myeloid DC"	"Tumor"
"RCC3-9_None_Myofibroblast_Tumor"	"RCC3-9"	"None"	"Myofibroblast"	"Tumor"
"RCC3-9_None_Naive B cell_Tumor"	"RCC3-9"	"None"	"Naive B cell"	"Tumor"
"RCC3-9_None_Naive CD4 T cell_Tumor"	"RCC3-9"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC3-9_None_Neutrophil_Tumor"	"RCC3-9"	"None"	"Neutrophil"	"Tumor"
"RCC3-9_None_NK cell_Tumor"	"RCC3-9"	"None"	"NK cell"	"Tumor"
"RCC3-9_None_Non-classical monocyte_Tumor"	"RCC3-9"	"None"	"Non-classical monocyte"	"Tumor"
"RCC3-9_None_Pelvic epithelium_Tumor"	"RCC3-9"	"None"	"Pelvic epithelium"	"Tumor"
"RCC3-9_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-9"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC3-9_None_Podocyte_Tumor"	"RCC3-9"	"None"	"Podocyte"	"Tumor"
"RCC3-9_None_Principal cell_Tumor"	"RCC3-9"	"None"	"Principal cell"	"Tumor"
"RCC3-9_None_Proximal tubule_Tumor"	"RCC3-9"	"None"	"Proximal tubule"	"Tumor"
"RCC3-9_None_Regulatory T cell_Tumor"	"RCC3-9"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-9_None_Tumor_Tumor"	"RCC3-9"	"None"	"Tumor"	"Tumor"
"RCC3-9_None_Vasa recta endothelium_Tumor"	"RCC3-9"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC4-1_Ipi + Nivo_Capillary endothelium_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Capillary endothelium"	"Tumor"
"RCC4-1_Ipi + Nivo_CD8 T cell_Tumor"	"RCC4-1"	"Ipi + Nivo"	"CD8 T cell"	"Tumor"
"RCC4-1_Ipi + Nivo_Fibroblast_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Fibroblast"	"Tumor"
"RCC4-1_Ipi + Nivo_Intermediate monocyte_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Intermediate monocyte"	"Tumor"
"RCC4-1_Ipi + Nivo_M1 Macrophage (STAT1)_Tumor"	"RCC4-1"	"Ipi + Nivo"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC4-1_Ipi + Nivo_M2 macrophage (CD163)_Tumor"	"RCC4-1"	"Ipi + Nivo"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-1_Ipi + Nivo_Myeloid DC_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Myeloid DC"	"Tumor"
"RCC4-1_Ipi + Nivo_Myofibroblast_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Myofibroblast"	"Tumor"
"RCC4-1_Ipi + Nivo_Neutrophil_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Neutrophil"	"Tumor"
"RCC4-1_Ipi + Nivo_NK cell_Tumor"	"RCC4-1"	"Ipi + Nivo"	"NK cell"	"Tumor"
"RCC4-1_Ipi + Nivo_Possibly Mid-Rep (Misc. Cells)_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Possibly Mid-Rep (Misc. Cells)"	"Tumor"
"RCC4-1_Ipi + Nivo_Proximal tubule_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Proximal tubule"	"Tumor"
"RCC4-1_Ipi + Nivo_Regulatory T cell_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Regulatory T cell"	"Tumor"
"RCC4-1_Ipi + Nivo_Tumor_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Tumor"	"Tumor"
"RCC4-1_Ipi + Nivo_Vasa recta endothelium_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Vasa recta endothelium"	"Tumor"
"RCC4-10_None_B cell_Stroma"	"RCC4-10"	"None"	"B cell"	"Stroma"
"RCC4-10_None_Capillary endothelium_Stroma"	"RCC4-10"	"None"	"Capillary endothelium"	"Stroma"
"RCC4-10_None_CD8 T cell_Stroma"	"RCC4-10"	"None"	"CD8 T cell"	"Stroma"
"RCC4-10_None_Collecting duct cell_Stroma"	"RCC4-10"	"None"	"Collecting duct cell"	"Stroma"
"RCC4-10_None_Epithelial progenitor cell_Stroma"	"RCC4-10"	"None"	"Epithelial progenitor cell"	"Stroma"
"RCC4-10_None_Fibroblast_Stroma"	"RCC4-10"	"None"	"Fibroblast"	"Stroma"
"RCC4-10_None_gdT cell_Stroma"	"RCC4-10"	"None"	"gdT cell"	"Stroma"
"RCC4-10_None_Glomerular endothelium_Stroma"	"RCC4-10"	"None"	"Glomerular endothelium"	"Stroma"
"RCC4-10_None_Intercalated Cell_Stroma"	"RCC4-10"	"None"	"Intercalated Cell"	"Stroma"
"RCC4-10_None_M1 Macrophage (STAT1)_Stroma"	"RCC4-10"	"None"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC4-10_None_M2 macrophage (CD163)_Stroma"	"RCC4-10"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC4-10_None_Mast cell_Stroma"	"RCC4-10"	"None"	"Mast cell"	"Stroma"
"RCC4-10_None_Myeloid DC_Stroma"	"RCC4-10"	"None"	"Myeloid DC"	"Stroma"
"RCC4-10_None_Myofibroblast_Stroma"	"RCC4-10"	"None"	"Myofibroblast"	"Stroma"
"RCC4-10_None_Naive B cell_Stroma"	"RCC4-10"	"None"	"Naive B cell"	"Stroma"
"RCC4-10_None_Naive CD4 T cell_Stroma"	"RCC4-10"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC4-10_None_Naive T cell_Stroma"	"RCC4-10"	"None"	"Naive T cell"	"Stroma"
"RCC4-10_None_Neutrophil_Stroma"	"RCC4-10"	"None"	"Neutrophil"	"Stroma"
"RCC4-10_None_NK cell_Stroma"	"RCC4-10"	"None"	"NK cell"	"Stroma"
"RCC4-10_None_Non-classical monocyte_Stroma"	"RCC4-10"	"None"	"Non-classical monocyte"	"Stroma"
"RCC4-10_None_Pelvic epithelium_Stroma"	"RCC4-10"	"None"	"Pelvic epithelium"	"Stroma"
"RCC4-10_None_Plasmacytoid dendritic cell_Stroma"	"RCC4-10"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC4-10_None_Podocyte_Stroma"	"RCC4-10"	"None"	"Podocyte"	"Stroma"
"RCC4-10_None_Principal cell_Stroma"	"RCC4-10"	"None"	"Principal cell"	"Stroma"
"RCC4-10_None_Proximal tubule_Stroma"	"RCC4-10"	"None"	"Proximal tubule"	"Stroma"
"RCC4-10_None_Regulatory T cell_Stroma"	"RCC4-10"	"None"	"Regulatory T cell"	"Stroma"
"RCC4-10_None_Tumor_Stroma"	"RCC4-10"	"None"	"Tumor"	"Stroma"
"RCC4-10_None_Vasa recta endothelium_Stroma"	"RCC4-10"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC4-11_None_B cell_Tumor"	"RCC4-11"	"None"	"B cell"	"Tumor"
"RCC4-11_None_Capillary endothelium_Tumor"	"RCC4-11"	"None"	"Capillary endothelium"	"Tumor"
"RCC4-11_None_CD8 T cell_Tumor"	"RCC4-11"	"None"	"CD8 T cell"	"Tumor"
"RCC4-11_None_Collecting duct cell_Tumor"	"RCC4-11"	"None"	"Collecting duct cell"	"Tumor"
"RCC4-11_None_Epithelial progenitor cell_Tumor"	"RCC4-11"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC4-11_None_Fibroblast_Tumor"	"RCC4-11"	"None"	"Fibroblast"	"Tumor"
"RCC4-11_None_Glomerular endothelium_Tumor"	"RCC4-11"	"None"	"Glomerular endothelium"	"Tumor"
"RCC4-11_None_Intercalated Cell_Tumor"	"RCC4-11"	"None"	"Intercalated Cell"	"Tumor"
"RCC4-11_None_M1 Macrophage (STAT1)_Tumor"	"RCC4-11"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC4-11_None_M2 macrophage (CD163)_Tumor"	"RCC4-11"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-11_None_Mast cell_Tumor"	"RCC4-11"	"None"	"Mast cell"	"Tumor"
"RCC4-11_None_Myofibroblast_Tumor"	"RCC4-11"	"None"	"Myofibroblast"	"Tumor"
"RCC4-11_None_Naive CD4 T cell_Tumor"	"RCC4-11"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC4-11_None_Neutrophil_Tumor"	"RCC4-11"	"None"	"Neutrophil"	"Tumor"
"RCC4-11_None_Non-classical monocyte_Tumor"	"RCC4-11"	"None"	"Non-classical monocyte"	"Tumor"
"RCC4-11_None_Plasmacytoid dendritic cell_Tumor"	"RCC4-11"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC4-11_None_Podocyte_Tumor"	"RCC4-11"	"None"	"Podocyte"	"Tumor"
"RCC4-11_None_Principal cell_Tumor"	"RCC4-11"	"None"	"Principal cell"	"Tumor"
"RCC4-11_None_Regulatory T cell_Tumor"	"RCC4-11"	"None"	"Regulatory T cell"	"Tumor"
"RCC4-11_None_Tumor_Tumor"	"RCC4-11"	"None"	"Tumor"	"Tumor"
"RCC4-11_None_Vasa recta endothelium_Tumor"	"RCC4-11"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC4-12_None_Capillary endothelium_Tumor"	"RCC4-12"	"None"	"Capillary endothelium"	"Tumor"
"RCC4-12_None_Collecting duct cell_Tumor"	"RCC4-12"	"None"	"Collecting duct cell"	"Tumor"
"RCC4-12_None_Epithelial progenitor cell_Tumor"	"RCC4-12"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC4-12_None_Fibroblast_Tumor"	"RCC4-12"	"None"	"Fibroblast"	"Tumor"
"RCC4-12_None_Glomerular endothelium_Tumor"	"RCC4-12"	"None"	"Glomerular endothelium"	"Tumor"
"RCC4-12_None_Intercalated Cell_Tumor"	"RCC4-12"	"None"	"Intercalated Cell"	"Tumor"
"RCC4-12_None_M2 macrophage (CD163)_Tumor"	"RCC4-12"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-12_None_Mast cell_Tumor"	"RCC4-12"	"None"	"Mast cell"	"Tumor"
"RCC4-12_None_Myofibroblast_Tumor"	"RCC4-12"	"None"	"Myofibroblast"	"Tumor"
"RCC4-12_None_Naive CD4 T cell_Tumor"	"RCC4-12"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC4-12_None_Neutrophil_Tumor"	"RCC4-12"	"None"	"Neutrophil"	"Tumor"
"RCC4-12_None_Plasmacytoid dendritic cell_Tumor"	"RCC4-12"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC4-12_None_Podocyte_Tumor"	"RCC4-12"	"None"	"Podocyte"	"Tumor"
"RCC4-12_None_Principal cell_Tumor"	"RCC4-12"	"None"	"Principal cell"	"Tumor"
"RCC4-12_None_Regulatory T cell_Tumor"	"RCC4-12"	"None"	"Regulatory T cell"	"Tumor"
"RCC4-12_None_Tumor_Tumor"	"RCC4-12"	"None"	"Tumor"	"Tumor"
"RCC4-12_None_Vasa recta endothelium_Tumor"	"RCC4-12"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC4-13_None_Capillary endothelium_Tumor"	"RCC4-13"	"None"	"Capillary endothelium"	"Tumor"
"RCC4-13_None_CD8 T cell_Tumor"	"RCC4-13"	"None"	"CD8 T cell"	"Tumor"
"RCC4-13_None_Collecting duct cell_Tumor"	"RCC4-13"	"None"	"Collecting duct cell"	"Tumor"
"RCC4-13_None_Epithelial progenitor cell_Tumor"	"RCC4-13"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC4-13_None_Fibroblast_Tumor"	"RCC4-13"	"None"	"Fibroblast"	"Tumor"
"RCC4-13_None_Intermediate monocyte_Tumor"	"RCC4-13"	"None"	"Intermediate monocyte"	"Tumor"
"RCC4-13_None_M1 Macrophage (STAT1)_Tumor"	"RCC4-13"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC4-13_None_M2 macrophage (CD163)_Tumor"	"RCC4-13"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-13_None_Mast cell_Tumor"	"RCC4-13"	"None"	"Mast cell"	"Tumor"
"RCC4-13_None_Myeloid DC_Tumor"	"RCC4-13"	"None"	"Myeloid DC"	"Tumor"
"RCC4-13_None_Myofibroblast_Tumor"	"RCC4-13"	"None"	"Myofibroblast"	"Tumor"
"RCC4-13_None_Naive CD4 T cell_Tumor"	"RCC4-13"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC4-13_None_Naive T cell_Tumor"	"RCC4-13"	"None"	"Naive T cell"	"Tumor"
"RCC4-13_None_Neutrophil_Tumor"	"RCC4-13"	"None"	"Neutrophil"	"Tumor"
"RCC4-13_None_NK cell_Tumor"	"RCC4-13"	"None"	"NK cell"	"Tumor"
"RCC4-13_None_Proximal tubule_Tumor"	"RCC4-13"	"None"	"Proximal tubule"	"Tumor"
"RCC4-13_None_Regulatory T cell_Tumor"	"RCC4-13"	"None"	"Regulatory T cell"	"Tumor"
"RCC4-13_None_Tumor_Tumor"	"RCC4-13"	"None"	"Tumor"	"Tumor"
"RCC4-13_None_Vasa recta endothelium_Tumor"	"RCC4-13"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC4-14_None_B cell_Tumor"	"RCC4-14"	"None"	"B cell"	"Tumor"
"RCC4-14_None_Capillary endothelium_Tumor"	"RCC4-14"	"None"	"Capillary endothelium"	"Tumor"
"RCC4-14_None_CD8 T cell_Tumor"	"RCC4-14"	"None"	"CD8 T cell"	"Tumor"
"RCC4-14_None_Collecting duct cell_Tumor"	"RCC4-14"	"None"	"Collecting duct cell"	"Tumor"
"RCC4-14_None_Epithelial progenitor cell_Tumor"	"RCC4-14"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC4-14_None_Fibroblast_Tumor"	"RCC4-14"	"None"	"Fibroblast"	"Tumor"
"RCC4-14_None_gdT cell_Tumor"	"RCC4-14"	"None"	"gdT cell"	"Tumor"
"RCC4-14_None_M1 Macrophage (STAT1)_Tumor"	"RCC4-14"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC4-14_None_M2 macrophage (CD163)_Tumor"	"RCC4-14"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-14_None_Myeloid DC_Tumor"	"RCC4-14"	"None"	"Myeloid DC"	"Tumor"
"RCC4-14_None_Myofibroblast_Tumor"	"RCC4-14"	"None"	"Myofibroblast"	"Tumor"
"RCC4-14_None_Naive T cell_Tumor"	"RCC4-14"	"None"	"Naive T cell"	"Tumor"
"RCC4-14_None_Neutrophil_Tumor"	"RCC4-14"	"None"	"Neutrophil"	"Tumor"
"RCC4-14_None_NK cell_Tumor"	"RCC4-14"	"None"	"NK cell"	"Tumor"
"RCC4-14_None_Proximal tubule_Tumor"	"RCC4-14"	"None"	"Proximal tubule"	"Tumor"
"RCC4-14_None_Regulatory T cell_Tumor"	"RCC4-14"	"None"	"Regulatory T cell"	"Tumor"
"RCC4-14_None_Tumor_Tumor"	"RCC4-14"	"None"	"Tumor"	"Tumor"
"RCC4-14_None_Vasa recta endothelium_Tumor"	"RCC4-14"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC4-15_None_Capillary endothelium_Tumor"	"RCC4-15"	"None"	"Capillary endothelium"	"Tumor"
"RCC4-15_None_CD8 T cell_Tumor"	"RCC4-15"	"None"	"CD8 T cell"	"Tumor"
"RCC4-15_None_Collecting duct cell_Tumor"	"RCC4-15"	"None"	"Collecting duct cell"	"Tumor"
"RCC4-15_None_Epithelial progenitor cell_Tumor"	"RCC4-15"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC4-15_None_Fibroblast_Tumor"	"RCC4-15"	"None"	"Fibroblast"	"Tumor"
"RCC4-15_None_gdT cell_Tumor"	"RCC4-15"	"None"	"gdT cell"	"Tumor"
"RCC4-15_None_Intercalated Cell_Tumor"	"RCC4-15"	"None"	"Intercalated Cell"	"Tumor"
"RCC4-15_None_M2 macrophage (CD163)_Tumor"	"RCC4-15"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC4-15_None_Mast cell_Tumor"	"RCC4-15"	"None"	"Mast cell"	"Tumor"
"RCC4-15_None_Myeloid DC_Tumor"	"RCC4-15"	"None"	"Myeloid DC"	"Tumor"
"RCC4-15_None_Myofibroblast_Tumor"	"RCC4-15"	"None"	"Myofibroblast"	"Tumor"
"RCC4-15_None_Naive B cell_Tumor"	"RCC4-15"	"None"	"Naive B cell"	"Tumor"
"RCC4-15_None_Naive CD4 T cell_Tumor"	"RCC4-15"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC4-15_None_Neutrophil_Tumor"	"RCC4-15"	"None"	"Neutrophil"	"Tumor"
"RCC4-15_None_NK cell_Tumor"	"RCC4-15"	"None"	"NK cell"	"Tumor"
"RCC4-15_None_Non-classical monocyte_Tumor"	"RCC4-15"	"None"	"Non-classical monocyte"	"Tumor"
"RCC4-15_None_Pelvic epithelium_Tumor"	"RCC4-15"	"None"	"Pelvic epithelium"	"Tumor"
"RCC4-15_None_Plasmacytoid dendritic cell_Tumor"	"RCC4-15"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC4-15_None_Podocyte_Tumor"	"RCC4-15"	"None"	"Podocyte"	"Tumor"
"RCC4-15_None_Principal cell_Tumor"	"RCC4-15"	"None"	"Principal cell"	"Tumor"
"RCC4-15_None_Proximal tubule_Tumor"	"RCC4-15"	"None"	"Proximal tubule"	"Tumor"
"RCC4-15_None_Regulatory T cell_Tumor"	"RCC4-15"	"None"	"Regulatory T cell"	"Tumor"
"RCC4-15_None_Tumor_Tumor"	"RCC4-15"	"None"	"Tumor"	"Tumor"
"RCC4-15_None_Vasa recta endothelium_Tumor"	"RCC4-15"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC4-16_None_B cell_Stroma"	"RCC4-16"	"None"	"B cell"	"Stroma"
"RCC4-16_None_CD8 T cell_Stroma"	"RCC4-16"	"None"	"CD8 T cell"	"Stroma"
"RCC4-16_None_Collecting duct cell_Stroma"	"RCC4-16"	"None"	"Collecting duct cell"	"Stroma"
"RCC4-16_None_Epithelial progenitor cell_Stroma"	"RCC4-16"	"None"	"Epithelial progenitor cell"	"Stroma"
"RCC4-16_None_Fibroblast_Stroma"	"RCC4-16"	"None"	"Fibroblast"	"Stroma"
"RCC4-16_None_gdT cell_Stroma"	"RCC4-16"	"None"	"gdT cell"	"Stroma"
"RCC4-16_None_Glomerular endothelium_Stroma"	"RCC4-16"	"None"	"Glomerular endothelium"	"Stroma"
"RCC4-16_None_Intercalated Cell_Stroma"	"RCC4-16"	"None"	"Intercalated Cell"	"Stroma"
"RCC4-16_None_M1 Macrophage (STAT1)_Stroma"	"RCC4-16"	"None"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC4-16_None_Mast cell_Stroma"	"RCC4-16"	"None"	"Mast cell"	"Stroma"
"RCC4-16_None_Myeloid DC_Stroma"	"RCC4-16"	"None"	"Myeloid DC"	"Stroma"
"RCC4-16_None_Myofibroblast_Stroma"	"RCC4-16"	"None"	"Myofibroblast"	"Stroma"
"RCC4-16_None_Naive B cell_Stroma"	"RCC4-16"	"None"	"Naive B cell"	"Stroma"
"RCC4-16_None_Naive CD4 T cell_Stroma"	"RCC4-16"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC4-16_None_Neutrophil_Stroma"	"RCC4-16"	"None"	"Neutrophil"	"Stroma"
"RCC4-16_None_NK cell_Stroma"	"RCC4-16"	"None"	"NK cell"	"Stroma"
"RCC4-16_None_Non-classical monocyte_Stroma"	"RCC4-16"	"None"	"Non-classical monocyte"	"Stroma"
"RCC4-16_None_Plasmacytoid dendritic cell_Stroma"	"RCC4-16"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC4-16_None_Podocyte_Stroma"	"RCC4-16"	"None"	"Podocyte"	"Stroma"
"RCC4-16_None_Principal cell_Stroma"	"RCC4-16"	"None"	"Principal cell"	"Stroma"
"RCC4-16_None_Proximal tubule_Stroma"	"RCC4-16"	"None"	"Proximal tubule"	"Stroma"
"RCC4-16_None_Regulatory T cell_Stroma"	"RCC4-16"	"None"	"Regulatory T cell"	"Stroma"
"RCC4-16_None_Tumor_Stroma"	"RCC4-16"	"None"	"Tumor"	"Stroma"
"RCC4-16_None_Vasa recta endothelium_Stroma"	"RCC4-16"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Capillary endothelium_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Capillary endothelium"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_CD8 T cell_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"CD8 T cell"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Collecting duct cell_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Collecting duct cell"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Epithelial progenitor cell_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Epithelial progenitor cell"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Fibroblast_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Fibroblast"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_gdT cell_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"gdT cell"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Glomerular endothelium_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Glomerular endothelium"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Intercalated Cell_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Intercalated Cell"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_M1 Macrophage (STAT1)_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_M2 macrophage (CD163)_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"M2 macrophage (CD163)"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Myeloid DC_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Myeloid DC"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Myofibroblast_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Myofibroblast"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Naive T cell_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Naive T cell"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Neutrophil_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Neutrophil"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_NK cell_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"NK cell"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Plasmacytoid dendritic cell_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Podocyte_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Podocyte"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Proximal tubule_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Proximal tubule"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Regulatory T cell_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Regulatory T cell"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Tumor_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Tumor"	"Stroma"
"RCC4-17_Pembrolizumab and Axitnib_Vasa recta endothelium_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Vasa recta endothelium"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_B cell_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"B cell"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Capillary endothelium_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Capillary endothelium"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_CD8 T cell_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"CD8 T cell"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Collecting duct cell_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Collecting duct cell"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Fibroblast_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Fibroblast"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_gdT cell_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"gdT cell"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Intermediate monocyte_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Intermediate monocyte"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_M1 Macrophage (STAT1)_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_M2 macrophage (CD163)_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"M2 macrophage (CD163)"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Myeloid DC_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Myeloid DC"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Myofibroblast_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Myofibroblast"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Naive B cell_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Naive B cell"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Naive CD4 T cell_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Naive CD4 T cell"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Naive T cell_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Naive T cell"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Neutrophil_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Neutrophil"	"Stroma"
